ZIP Census Tabulation Area,FIPS state,vtd,fedRep,stateSen,stateRep,sduni,sdelm,sdsec,State Postal Code,county,Voting District Name,Elementary School District Name,Secondary School District Name,Unified School District Name
15001,42,5,12,47,16,2130,99999,99999,PA,Beaver PA,ALIQUIPPA VTD 01,4299999,4299999,Aliquippa School District
15001,42,15,12,47,16,2130,99999,99999,PA,Beaver PA,ALIQUIPPA VTD 02,4299999,4299999,Aliquippa School District
15001,42,26,12,47,16,2130,99999,99999,PA,Beaver PA,ALIQUIPPA VTD 03,4299999,4299999,Aliquippa School District
15001,42,36,12,47,16,2130,99999,99999,PA,Beaver PA,ALIQUIPPA VTD 04,4299999,4299999,Aliquippa School District
15001,42,45,12,47,16,2130,99999,99999,PA,Beaver PA,ALIQUIPPA VTD 05,4299999,4299999,Aliquippa School District
15001,42,55,12,47,16,2130,99999,99999,PA,Beaver PA,ALIQUIPPA VTD 06*,4299999,4299999,Aliquippa School District
15001,42,56,12,47,16,2130,99999,99999,PA,Beaver PA,4200756,4299999,4299999,Aliquippa School District
15001,42,65,12,47,16,2130,99999,99999,PA,Beaver PA,ALIQUIPPA VTD 07,4299999,4299999,Aliquippa School District
15001,42,75,12,47,16,2130,99999,99999,PA,Beaver PA,ALIQUIPPA VTD 08,4299999,4299999,Aliquippa School District
15001,42,490,12,47,15,824,99999,99999,PA,Beaver PA,CENTER TWP VTD 01,4299999,4299999,Center Valley School District
15001,42,520,12,47,15,824,99999,99999,PA,Beaver PA,CENTER TWP VTD 04,4299999,4299999,Center Valley School District
15001,42,530,12,47,15,824,99999,99999,PA,Beaver PA,CENTER TWP VTD 05*,4299999,4299999,Center Valley School District
15001,42,550,12,47,15,824,99999,99999,PA,Beaver PA,CENTER TWP VTD 07,4299999,4299999,Center Valley School District
15001,42,560,12,47,15,824,99999,99999,PA,Beaver PA,CENTER TWP VTD 08,4299999,4299999,Center Valley School District
15001,42,840,12,46,15,22230,99999,99999,PA,Beaver PA,GREENE TWP Voting District*,4299999,4299999,South Side Area School District
15001,42,850,12,46,46,22230,99999,99999,PA,Beaver PA,HANOVER TWP VTD EAST,4299999,4299999,South Side Area School District
15001,42,940,12,47,15,12030,99999,99999,PA,Beaver PA,HOPEWELL TWP VTD 01,4299999,4299999,Hopewell Area School District
15001,42,950,12,47,15,12030,99999,99999,PA,Beaver PA,HOPEWELL TWP VTD 02,4299999,4299999,Hopewell Area School District
15001,42,960,12,47,15,12030,99999,99999,PA,Beaver PA,HOPEWELL TWP VTD 03*,4299999,4299999,Hopewell Area School District
15001,42,975,12,47,15,12030,99999,99999,PA,Beaver PA,HOPEWELL TWP VTD 04,4299999,4299999,Hopewell Area School District
15001,42,985,12,47,15,12030,99999,99999,PA,Beaver PA,HOPEWELL TWP VTD 05,4299999,4299999,Hopewell Area School District
15001,42,995,12,47,15,12030,99999,99999,PA,Beaver PA,HOPEWELL TWP VTD 06,4299999,4299999,Hopewell Area School District
